id_resultado,fitness,tiempoEjecucion,solucion,fk_id_experimento
11,1.66945270405017,1.878,"[-0.6126482829575518, -0.47946425333447834, -0.5200024132045722, 0.3969124651408288, 0.21968653388080941, 0.2613626701465105, 0.2853392882385878, 0.1527139893511871, 0.0013464544702226139, -0.07061959397492742, -0.4602649018989045, 0.002735289031989154, 0.1588952579006194, -0.2660715517196956, 0.11096182778993535, 0.09353955932937119, 0.17372091311586693, 0.042122178781777035, 0.1974862220861895, 0.11580069823332968, 0.13247083876341953, 0.16441077584515007, 0.1357376078324655, -0.23114068405338756, -0.2859687896240098, 0.15666714940711216, 0.06689666786579042, -0.06628022185578496, 0.24298614387904907, 0.0019074681069805083]",11
12,2.9920414225935,1.971,"[-0.27171461395617036, 0.3772470287052357, 0.3329378007716388, 0.15028590910999057, -0.12217243936572944, 0.2675763270174146, -0.5555657285437942, 0.08777533275829513, -0.5326014469289713, -0.0025072046318650775, -0.003901363322577155, -0.3198039628397277, -0.12764064820521473, -0.1790893857088732, -0.25231213151010595, -0.012655993863408656, 0.21668340909601178, 0.08821862174270112, 0.287524002609223, -0.3027800732986708, 0.1887234704663273, 0.20792896573568714, -0.2730618487978875, -0.16136745031500815, -0.3621711743333782, 0.0794019908931522, -0.03178354689560294, 0.08828411934699756, 0.1916905411732991, 0.282077334634298]",12
13,0.0598439922409619,2.084,"[-0.03512227903297211, 0.16913532297656078, -0.006912305562015469, -0.13574526680738422, 0.015645765504012896, -0.0754341442075443, -0.07932060889208824, -0.005410496540385991, 0.0043976895906004095, -0.0003982309486355825, -0.008847725318052961, -0.01641634017492405, 0.003695623797945529, 0.015243950920452906, -0.004134340120711815, 0.11748059180480748, -0.10548645504087838, -0.1358776697551035, 0.024637675686373334, 0.011786102229309321, 0.008072471951973581, -0.10391698533199016, -0.019665251159075588, 0.04517600692297622, -0.011606333668574493, 0.011376265109995972, -0.03189097131779033, -0.17206596190001347, -0.006588417224320918, 0.14385889229963958]",13
14,0.0332476460804694,2.094,"[-0.0007687408722308869, 0.00043393692072923076, 0.11634770209864338, -0.1806532757462922, 0.005307207019188082, -0.004574871719649687, -0.10932582206945125, 0.006236023185437323, 0.09207892075813813, 0.10970487645344258, -0.0125051341485597, -0.00015775448540645428, -0.13365269583874842, -0.0016447231526822389, -0.15036771410935135, 0.003371144984006773, -1.2828852272030657e-06, 0.011284595309725842, -0.015155958217046966, 0.1385081130627154, -0.06472010793756859, 0.08762983048897734, 0.01371240873415896, -0.0015329130383196438, 0.010056769101784942, 0.09524566455488447, 0.029632884268842908, -0.00010758375108335423, 0.010214265393680528, 0.0007657410093789885]",14
15,0.0210278220868364,2.026,"[0.042339632321606056, -0.045460465533561284, 0.00020964581568240663, -0.168454318979704, 0.11104263198803653, 0.07092339052746728, -0.034564650333012197, 0.06159279466245654, 0.08728009261777166, -0.062239159210519535, -0.002683573686346518, -0.09411247030695469, -0.0035235747375786906, -0.00909622045078601, -0.0010826142812973719, -0.0307881672724651, -0.09718405152233979, -0.10439187259915723, -0.042264551329297434, 0.0878594402133193, -0.006313551158106816, -0.05295133807493388, -0.01501118035408868, -0.0014865400498794013, -0.053696649376672366, 0.004738324850441533, 0.012367223769246283, -0.010175605009912048, 0.00013512081536248886, 6.333541132486519e-05]",15
16,-5264.53509191833,1.918,"[204.6290882750964, -500.0, -500.0, -301.8026927352825, -500.0, 500.0, -499.6599843669597, -322.977848267924, -500.0, 500.0, 500.0, 500.0, 414.4785407628469, 500.0, -301.01577141975235, -500.0, 426.0532750025944, 423.9444485922011, 500.0, 426.89393166198795, 392.8367225059727, 428.25675636084, 421.5494926896795, -500.0, 416.1442184448715, -500.0, -500.0, 500.0, -280.8419367816108, 402.97791240117675]",16
17,-5016.73502712114,2.013,"[-500.0, -500.0, 500.0, -500.0, -500.0, -500.0, -500.0, -315.6944397069991, 414.1712722391419, -500.0, -500.0, 418.3684784724605, -305.5269199374485, -500.0, -500.0, -500.0, -500.0, 500.0, -500.0, -500.0, -500.0, -500.0, 417.6621890684283, -500.0, 500.0, -500.0, -500.0, -500.0, 500.0, -301.1267319110631]",17
18,-5686.28852731674,2.049,"[-294.4179812254758, -304.2795714217865, 500.0, -500.0, 420.7445392185275, -500.0, -500.0, 500.0, -500.0, -500.0, -500.0, -500.0, 500.0, -500.0, -500.0, -299.3260959402028, -500.0, -500.0, -500.0, -500.0, -500.0, 235.12831679434913, -280.7470423540617, 404.61957009040503, 418.53106911804997, -500.0, -306.73352162343593, -500.0, -500.0, 425.98364797348387]",18
19,-2830.59191609273,1.797,"[426.04483316400473, -2.968306387769136, 390.07048501522667, 456.08865996530506, 380.2521019370654, -500.0, -316.5280229566407, 467.93918025520225, -500.0, -61.63202525051495, -7.566039636347909, -439.94454005004593, -8.896257344448749, -500.0, -500.0, -315.4280809369546, 114.36800755459683, 500.0, 255.30987406991906, -107.6025337953065, 426.15614018630623, 69.96392549145935, 25.766337988895913, 147.2263258583302, 26.770282913693606, -18.488526653454873, -19.030513119621986, 466.1348558606248, -135.53172690522973, 375.3278959558864]",19
20,-2945.71346958714,1.963,"[223.48398840904983, -120.9286088917597, -322.8347619883815, -330.15700838432446, 158.82788021731807, 365.841110255662, -136.23091617588352, -79.14735986482196, 500.0, -301.135153139146, -500.0, -500.0, -485.2775319235932, 191.31184589018034, 378.9915202587446, 90.7789821614576, -109.00506645810208, 500.0, -380.9636234347514, -298.93980932704176, -6.163597189485216, -295.2015120038328, 160.15527413306214, 434.37145280036674, 157.03649899975858, -318.209139983313, -240.50995126859792, -168.00673568932007, 188.09916293274935, -338.02789454222955]",20
