id_experimento,MH,paramMH,ML,paramML,ML_FS,paramML_FS,estado,fk_id_instancia
107,PSA,"iter:100,pop:10",,,,,terminado,10
108,PSA,"iter:100,pop:10",,,,,terminado,10
109,SCA,"iter:100,pop:10",,,,,terminado,10
110,SCA,"iter:100,pop:10",,,,,terminado,10
111,SCA,"iter:100,pop:10",,,,,terminado,10
112,RSA,"iter:100,pop:10",,,,,terminado,10
113,RSA,"iter:100,pop:10",,,,,terminado,10
114,RSA,"iter:100,pop:10",,,,,terminado,10
115,WOA,"iter:100,pop:10",,,,,terminado,10
116,WOA,"iter:100,pop:10",,,,,terminado,10
117,WOA,"iter:100,pop:10",,,,,terminado,10
118,GWO,"iter:100,pop:10",,,,,terminado,10
119,GWO,"iter:100,pop:10",,,,,terminado,10
120,GWO,"iter:100,pop:10",,,,,terminado,10
121,PSA,"iter:100,pop:10",,,,,terminado,83
122,PSA,"iter:100,pop:10",,,,,terminado,83
123,PSA,"iter:100,pop:10",,,,,terminado,83
124,SCA,"iter:100,pop:10",,,,,terminado,83
125,SCA,"iter:100,pop:10",,,,,terminado,83
126,SCA,"iter:100,pop:10",,,,,terminado,83
127,RSA,"iter:100,pop:10",,,,,terminado,83
128,RSA,"iter:100,pop:10",,,,,terminado,83
129,RSA,"iter:100,pop:10",,,,,terminado,83
130,WOA,"iter:100,pop:10",,,,,terminado,83
131,WOA,"iter:100,pop:10",,,,,terminado,83
132,WOA,"iter:100,pop:10",,,,,terminado,83
133,GWO,"iter:100,pop:10",,,,,terminado,83
134,GWO,"iter:100,pop:10",,,,,terminado,83
135,GWO,"iter:100,pop:10",,,,,terminado,83
136,PSA,"iter:100,pop:10",,,,,terminado,84
137,PSA,"iter:100,pop:10",,,,,terminado,84
138,PSA,"iter:100,pop:10",,,,,terminado,84
139,SCA,"iter:100,pop:10",,,,,terminado,84
140,SCA,"iter:100,pop:10",,,,,terminado,84
141,SCA,"iter:100,pop:10",,,,,terminado,84
142,RSA,"iter:100,pop:10",,,,,terminado,84
143,RSA,"iter:100,pop:10",,,,,terminado,84
144,RSA,"iter:100,pop:10",,,,,terminado,84
145,WOA,"iter:100,pop:10",,,,,terminado,84
146,WOA,"iter:100,pop:10",,,,,terminado,84
147,WOA,"iter:100,pop:10",,,,,terminado,84
148,GWO,"iter:100,pop:10",,,,,terminado,84
149,GWO,"iter:100,pop:10",,,,,terminado,84
150,GWO,"iter:100,pop:10",,,,,terminado,84
151,PSA,"iter:100,pop:10",,,,,terminado,85
152,PSA,"iter:100,pop:10",,,,,terminado,85
153,PSA,"iter:100,pop:10",,,,,terminado,85
154,SCA,"iter:100,pop:10",,,,,terminado,85
155,SCA,"iter:100,pop:10",,,,,terminado,85
156,SCA,"iter:100,pop:10",,,,,terminado,85
157,RSA,"iter:100,pop:10",,,,,terminado,85
158,RSA,"iter:100,pop:10",,,,,terminado,85
